ext_id,Latitude,Longitude,label,label_category,lat_grid,lon_grid
77315,-37.7863120002073,144.9521460005341,1.173,Low,-37.786,144.952
77243,-37.78644000018176,144.95198099956474,1.369,Low,-37.786,144.952
77986,-37.78533699966249,144.9534170003388,2.737,Low,-37.785,144.953
77640,-37.78572800028359,144.95289400034883,2.933,Low,-37.786,144.953
78108,-37.785162999572016,144.95362100018434,2.053,Low,-37.785,144.954
79710,-37.78280399948914,144.95363399967337,0.978,Low,-37.783,144.954
78177,-37.78505299951294,144.95376600015996,0.88,Low,-37.785,144.954
77145,-37.78659899990005,144.95178700046617,1.369,Low,-37.787,144.952
79293,-37.78349100002081,144.9544549998936,1.271,Low,-37.783,144.954
75675,-37.7790299994886,144.9411099995727,2.542,Low,-37.779,144.941
77882,-37.78546000014559,144.95328799979995,2.151,Low,-37.785,144.953
87254,-37.8201779999598,144.96512900040213,51.417,High,-37.82,144.965
87266,-37.82016800021589,144.96514400037154,54.741,High,-37.82,144.965
84528,-37.82243699975712,144.9517010004703,1.173,Low,-37.822,144.952
84945,-37.82262799962293,144.95254799999296,45.943,High,-37.823,144.953
84983,-37.82265899979781,144.95278399999765,2.053,Low,-37.823,144.953
90741,-37.81369499974718,144.96594200022292,5.572,Low,-37.814,144.966
92192,-37.81074400014494,144.9644059996165,24.438,Medium,-37.811,144.964
92208,-37.81069300015253,144.96436400013604,73.314,High,-37.811,144.964
90935,-37.81354199969077,144.9658230004648,6.256,Low,-37.814,144.966
88343,-37.829758000024086,144.96502700020235,12.708,Medium,-37.83,144.965
88898,-37.830004000167854,144.9649960005758,2.737,Low,-37.83,144.965
88933,-37.83004099957211,144.96500100009828,6.158,Low,-37.83,144.965
89778,-37.8155699996418,144.96659900007592,5.963,Low,-37.816,144.967
91462,-37.81251799954452,144.9655210005719,25.122,Medium,-37.813,144.966
92034,-37.811387000364135,144.9646480000478,79.081,High,-37.811,144.965
92084,-37.81117099980351,144.96456899951298,73.021,High,-37.811,144.965
76348,-37.77802799968141,144.93916399978676,2.835,Low,-37.778,144.939
76395,-37.77796400017667,144.93905899981144,1.369,Low,-37.778,144.939
79316,-37.78344799963673,144.95441199969866,0.978,Low,-37.783,144.954
79326,-37.78343199962303,144.95438799980454,0.489,Low,-37.783,144.954
76886,-37.78699099964528,144.95128399952105,2.639,Low,-37.787,144.951
76488,-37.77780900027089,144.93884300054927,0.196,Low,-37.778,144.939
76594,-37.78734800015721,144.95079800060572,1.76,Low,-37.787,144.951
76795,-37.78710300009258,144.95113000012762,1.662,Low,-37.787,144.951
77179,-37.78655299976976,144.9518460004506,0.293,Low,-37.787,144.952
83753,-37.820309000060114,144.9627170003169,22.287,Medium,-37.82,144.963
83897,-37.8199919999734,144.96308900056292,18.084,Medium,-37.82,144.963
82478,-37.781522000030336,144.95190400020294,4.79,Low,-37.782,144.952
82669,-37.78166199976474,144.95144699967886,63.245,High,-37.782,144.951
80403,-37.78187000033648,144.95182400040255,3.617,Low,-37.782,144.952
82631,-37.78168399959061,144.9516250001393,4.888,Low,-37.782,144.952
81263,-37.78235699974061,144.94962199987566,3.03,Low,-37.782,144.95
83190,-37.781970000220426,144.94976000051238,5.181,Low,-37.782,144.95
83214,-37.78195500031105,144.9497070000628,17.986,Medium,-37.782,144.95
83234,-37.78195200028894,144.94970700007983,19.746,Medium,-37.782,144.95
83823,-37.820177000253935,144.96285600025658,17.4,Medium,-37.82,144.963
79773,-37.78269500038251,144.95350300009602,2.151,Low,-37.783,144.954
79781,-37.78268199953222,144.95348700012187,0.978,Low,-37.783,144.953
79795,-37.78265700016314,144.95346300025068,0.684,Low,-37.783,144.953
79824,-37.78260899952238,144.95339099971503,1.173,Low,-37.783,144.953
79949,-37.78238399965738,144.953102000171,0.88,Low,-37.782,144.953
79950,-37.78238200032972,144.95310000015445,0.88,Low,-37.782,144.953
80170,-37.78204600006888,144.95253499958665,1.075,Low,-37.782,144.953
80451,-37.78184799964201,144.95164500026272,1.466,Low,-37.782,144.952
80191,-37.782021000250126,144.9524789998289,3.617,Low,-37.782,144.952
82914,-37.78167099979122,144.9506049999932,11.437,Medium,-37.782,144.951
